close,macd,EMA26,EMA12,macd_signal,buy,sell
126113,214.6875741,126762.4278,126612.0179,179.5355084,,
126071,221.2801552,126711.211,126528.7844,186.9726653,,
126116,216.7212925,126667.1213,126465.2791,190.8001272,,
126087,206.1099751,126624.1493,126407.0823,190.5763121,,
125955,189.6810514,126574.5827,126337.5312,188.8857624,,
126080,182.1235637,126537.9469,126297.911,186.5995315,,
126183,177.4546081,126511.6546,126280.2324,186.9803581,,
126214,188.5036646,126489.6061,126270.0428,188.8374273,,
126215,196.265704,126469.2649,126261.5747,190.5609733,,
126149,197.4551571,126445.5416,126244.2555,192.3735872,,
126120,199.6240431,126421.4274,126225.1393,193.6561271,,
126008,198.7862866,126390.8031,126191.7332,191.3650489,,
125952,182.2007362,126358.2992,126154.8512,187.8217423,,
125921,173.648516,126325.9067,126118.8741,184.6666101,,
126075,172.0460811,126307.321,126112.1242,180.3938696,51.20826586,
126077,163.3029076,126290.2602,126106.7205,176.1223528,,
126023,159.0362856,126270.4631,126093.8404,,,
126024,,126252.2066,126083.0957,,,
126063,,126238.1913,126080.0041,,,
126380,,126248.6956,126126.1573,,,
126420,,126261.3849,126171.3639,,,
126355,,126268.3193,126199.6156,,,
126305,,126271.0364,126215.8286,,,
126285,,126272.0707,126226.4703,,,
126260,,126271.1766,126231.6287,,,
126248,,126269.4598,126234.1474,,,
126284,,126270.5369,126241.817,,,
126158,,126262.2008,126228.9221,,,
126065,,126247.5933,126203.7033,,,
125957,,126226.0679,126165.749,,,190.5763121
126015,,126210.4332,126142.5568,,,
126021,,126196.4012,126123.8558,,,
126195,,126196.2974,126134.801,,186.9803581,
126175,,126194.7198,126140.9855,,,
126106,,126188.1479,126135.6031,,,
126114,,126182.6555,126132.2796,,,
126075,,126174.681,126123.4673,,,
125868,,126151.9639,126084.1646,,,191.3650489
125914,,126134.337,126057.9855,,,
125967,,126121.9416,126043.9877,,,
125862,,126102.6867,126015.9896,,,
125882,,126086.3395,125995.3758,,,
